Raw Input by Index
i,Time,Signal
971,0.0971,-5.05534,0
972,0.0972,-2.31941,0
973,0.0973,0.942121,0
974,0.0974,4.5494,0
975,0.0975,8.09017,0
976,0.0976,11.0165,0
977,0.0977,12.8273,0
978,0.0978,13.2465,0
979,0.0979,12.3103,0
980,0.098,10.3195,0
981,0.0981,7.68726,0
982,0.0982,4.76451,0
983,0.0983,1.73264,0
984,0.0984,-1.38323,0
985,0.0985,-4.59742,0
986,0.0986,-7.81711,0
987,0.0987,-10.7568,0
988,0.0988,-12.9717,0
989,0.0989,-14.0021,0
990,0.099,-13.5586,0
991,0.0991,-11.654,0
992,0.0992,-8.61166,0
993,0.0993,-4.9459,0
994,0.0994,-1.17424,0
995,0.0995,2.34404,0
996,0.0996,5.46513,0
997,0.0997,8.19417,0
998,0.0998,10.5431,0
999,0.0999,12.4013,0
1000,0.1,13.5,0
1001,0.1001,13.4966,0
1002,0.1002,12.1399,0
1003,0.1003,9.42699,0
1004,0.1004,5.66566,0
1005,0.1005,1.40358,0
1006,0.1006,-2.7459,0
1007,0.1007,-6.29683,0
1008,0.1008,-9.00956,0
1009,0.1009,-10.8832,0
1010,0.101,-12.0369,0
1011,0.1011,-12.5543,0
1012,0.1012,-12.3827,0
1013,0.1013,-11.3458,0
1014,0.1014,-9.26483,0
1015,0.1015,-6.11911,0
1016,0.1016,-2.15404,0
1017,0.1017,2.13054,0
1018,0.1018,6.11544,0
1019,0.1019,9.25892,0
1020,0.102,11.2599,0
1021,0.1021,12.1098,0
1022,0.1022,12.0137,0
1023,0.1023,11.2304,0
